Data Entrada,Data Saída,Retorno (%),Lucro (R$)
2021-12-23,2021-12-29,0.741275296777455,1.2975480101251473
2021-12-27,2021-12-30,-1.0434518993040043,-1.8400252676277344
2021-12-28,2022-01-03,1.0771309614425295,1.879595514580741
2021-12-29,2022-01-04,2.3125319421184676,4.078838751324164
2021-12-30,2022-01-05,-1.3356828362530049,-2.410354796845979
2022-01-03,2022-01-06,-3.575130635854107,-6.365458030293521
2022-01-04,2022-01-07,-3.493129461693345,-5.997102673471865
2022-01-05,2022-01-10,-0.2137595109321322,-0.3541689488964215
2022-01-06,2022-01-11,2.816408105248014,4.656410731859331
2022-01-07,2022-01-12,5.464851419588257,9.289588625850485
2022-01-10,2022-01-13,8.247055107546707,14.785116994161632
2022-01-11,2022-01-14,9.04993786761661,17.56254930600532
2022-01-12,2022-01-17,5.989240251319128,12.674741656330026
